chain,merchant_id,city,product_type,product_item,order_num,quantity,transaction_time,order_status,price
Starbucks,SF102,San Francisco,Combo,PremiumCombo,36,2,2025-12-15T14:56:48.217067,COMPLETE,24.86
KFC,CHI301,Chicago,Drinks,DietCoke,41,1,2025-12-15T14:56:48.059917,COMPLETE,2.73
Chipotle,ATL401,Atlanta,Drinks,DietCoke,41,2,2025-12-15T14:56:48.130854,COMPLETE,4.83
KFC,LA301,Los Angeles,Sandwich,ChipotleChicken,33,1,2025-12-15T14:56:48.071521,COMPLETE,7.62
Burger King,SF201,San Francisco,Dessert,ChocolateChipCookie,35,1,2025-12-15T14:56:48.126318,COMPLETE,2.11
McDonalds,DAL001,Dallas,Sandwich,GrilledChicken,31,1,2025-12-15T14:56:48.095747,COMPLETE,7.18
KFC,HOU301,Houston,Combo,ChickenCombo,37,2,2025-12-15T14:56:48.106283,COMPLETE,20.07
McDonalds,LA001,Los Angeles,Drinks,DietCoke,36,2,2025-12-15T14:56:48.146616,COMPLETE,5.06
Starbucks,SF101,San Francisco,Combo,FamilyBucket,39,2,2025-12-15T14:56:48.022447,COMPLETE,37.71
McDonalds,SF001,San Francisco,Drinks,Latte,42,1,2025-12-15T14:56:48.082502,COMPLETE,4.3
KFC,CHI301,Chicago,Sandwich,GrilledChicken,42,1,2025-12-15T14:56:48.089825,COMPLETE,6.95
McDonalds,SEA001,Seattle,Sandwich,BigMac,35,2,2025-12-15T14:56:48.060129,COMPLETE,14.67
Chipotle,BOS401,Boston,Combo,SnackCombo,33,2,2025-12-15T14:56:48.010067,COMPLETE,14.56
Burger King,CHI202,Chicago,Combo,ValueMealB,34,1,2025-12-15T14:56:48.072868,FAILED,9.58
McDonalds,SF001,San Francisco,Drinks,OrangeJuice,43,1,2025-12-15T14:56:48.139396,COMPLETE,3.46
McDonalds,NYC004,New York,Sandwich,VeggieDelight,29,1,2025-12-15T14:56:48.028109,COMPLETE,6.48
Chipotle,MIA401,Miami,Sandwich,ChipotleChicken,33,1,2025-12-15T14:56:48.086554,COMPLETE,7.79
Chipotle,CHI401,Chicago,Dessert,ApplePie,39,1,2025-12-15T14:56:48.089243,COMPLETE,2.53
KFC,DAL301,Dallas,Dessert,ChocolateSundae,42,1,2025-12-15T14:56:48.045109,COMPLETE,4.19
McDonalds,NYC001,New York,Drinks,IcedCoffee,38,2,2025-12-15T14:56:48.096633,COMPLETE,8.02
KFC,DAL301,Dallas,Dessert,CheesecakeSlice,43,1,2025-12-15T14:56:48.126945,COMPLETE,4.87
Chipotle,NYC401,New York,Drinks,Latte,24,1,2025-12-15T14:56:48.085033,COMPLETE,4.26
Burger King,NYC201,New York,Combo,HealthyCombo,33,1,2025-12-15T14:56:48.070442,COMPLETE,9.87
Starbucks,DAL101,Dallas,Sandwich,VeggieDelight,38,1,2025-12-15T14:56:48.068219,COMPLETE,6.44
Burger King,MIA201,Miami,Combo,PremiumCombo,28,1,2025-12-15T14:56:48.068332,COMPLETE,11.88
Starbucks,DAL101,Dallas,Drinks,Mocha,39,1,2025-12-15T14:56:48.138989,COMPLETE,4.72
KFC,NYC301,New York,Drinks,OrangeJuice,40,1,2025-12-15T14:56:48.055410,COMPLETE,3.24
Burger King,SF201,San Francisco,Dessert,CheesecakeSlice,36,1,2025-12-15T14:56:48.208498,COMPLETE,4.53
Burger King,SF201,San Francisco,Dessert,BlueberryMuffin,37,1,2025-12-15T14:56:48.224849,COMPLETE,2.99
Burger King,CHI202,Chicago,Dessert,BlueberryMuffin,35,1,2025-12-15T14:56:48.103813,COMPLETE,2.9
Chipotle,LA401,Los Angeles,Sandwich,BBQBeef,28,1,2025-12-15T14:56:48.082279,COMPLETE,8.03
KFC,CHI301,Chicago,Sandwich,BigMac,43,1,2025-12-15T14:56:48.127119,COMPLETE,7.27
KFC,CHI301,Chicago,Sandwich,VeggieDelight,44,1,2025-12-15T14:56:48.220750,COMPLETE,6.25
Starbucks,BOS101,Boston,Drinks,OrangeJuice,22,1,2025-12-15T14:56:48.076332,COMPLETE,3.25
McDonalds,MIA001,Miami,Dessert,CheesecakeSlice,37,2,2025-12-15T14:56:48.148572,COMPLETE,8.68
Burger King,CHI201,Chicago,Dessert,Cookie,35,2,2025-12-15T14:56:48.017047,COMPLETE,3.36
Burger King,SEA201,Seattle,Drinks,ColdBrew,35,1,2025-12-15T14:56:48.052789,COMPLETE,4.99
KFC,NYC301,New York,Sandwich,SpicyChicken,41,1,2025-12-15T14:56:48.131995,COMPLETE,7.51
Burger King,SF201,San Francisco,Combo,BurgerFriesDrink,38,1,2025-12-15T14:56:48.289014,COMPLETE,11.06
Chipotle,SF401,San Francisco,Sandwich,BLT,29,1,2025-12-15T14:56:49.059993,COMPLETE,6.6
McDonalds,LA001,Los Angeles,Combo,DoubleChickenCombo,37,3,2025-12-15T14:56:49.091025,COMPLETE,37.83
Starbucks,NYC101,New York,Dessert,ChocolateSundae,32,1,2025-12-15T14:56:49.073272,COMPLETE,3.85
Starbucks,MIA101,Miami,Dessert,VanillaSundae,24,2,2025-12-15T14:56:49.014461,COMPLETE,8.08
McDonalds,LA001,Los Angeles,Sandwich,BLT,38,1,2025-12-15T14:56:49.106457,COMPLETE,6.63
Starbucks,BOS101,Boston,Sandwich,CrispyChicken,23,1,2025-12-15T14:56:49.003667,COMPLETE,6.46
Chipotle,NYC401,New York,Combo,ChickenCombo,25,1,2025-12-15T14:56:49.039998,COMPLETE,10.12
Chipotle,DAL401,Dallas,Combo,ChickenCombo,30,1,2025-12-15T14:56:49.000273,COMPLETE,10.6
McDonalds,LA001,Los Angeles,Drinks,Coke,39,1,2025-12-15T14:56:49.169525,COMPLETE,2.39
Burger King,ATL201,Atlanta,Drinks,OrangeJuice,36,1,2025-12-15T14:56:49.049454,COMPLETE,3.25
Burger King,SEA201,Seattle,Drinks,OrangeJuice,36,2,2025-12-15T14:56:49.018156,COMPLETE,6.3
Burger King,SF201,San Francisco,Dessert,ApplePie,39,1,2025-12-15T14:56:49.019527,COMPLETE,2.63
Chipotle,CHI401,Chicago,Drinks,Latte,40,1,2025-12-15T14:56:49.081735,COMPLETE,4.44
Burger King,NYC201,New York,Dessert,ChocolateChipCookie,34,1,2025-12-15T14:56:49.006005,COMPLETE,1.95
Chipotle,ATL401,Atlanta,Sandwich,BigMac,42,1,2025-12-15T14:56:49.011603,COMPLETE,7.19
Chipotle,CHI401,Chicago,Drinks,OrangeJuice,41,1,2025-12-15T14:56:49.174455,FAILED,3.39
Starbucks,SEA101,Seattle,Dessert,Brownie,26,1,2025-12-15T14:56:49.025221,COMPLETE,3.05
Chipotle,BOS401,Boston,Dessert,VanillaSundae,34,1,2025-12-15T14:56:49.074743,COMPLETE,3.59
Burger King,DAL201,Dallas,Combo,HealthyCombo,36,1,2025-12-15T14:56:49.015765,COMPLETE,11.12
KFC,SF301,San Francisco,Combo,HealthyCombo,31,2,2025-12-15T14:56:49.026975,COMPLETE,19.53
Starbucks,SF101,San Francisco,Combo,FamilyBucket,40,2,2025-12-15T14:56:49.011094,COMPLETE,39.38
Chipotle,LA401,Los Angeles,Drinks,Sprite,29,1,2025-12-15T14:56:49.064418,COMPLETE,2.6
Chipotle,CHI401,Chicago,Sandwich,VeggieDelight,42,2,2025-12-15T14:56:49.177608,COMPLETE,11.63
Chipotle,CHI401,Chicago,Sandwich,CrispyChicken,43,1,2025-12-15T14:56:49.190627,COMPLETE,6.26
Burger King,MIA201,Miami,Combo,SnackCombo,29,1,2025-12-15T14:56:49.011747,COMPLETE,7.17
McDonalds,SEA001,Seattle,Dessert,ChocolateSundae,36,1,2025-12-15T14:56:49.080540,COMPLETE,3.85
Chipotle,ATL401,Atlanta,Sandwich,ChipotleChicken,43,1,2025-12-15T14:56:49.062713,FAILED,6.81
McDonalds,CHI001,Chicago,Sandwich,BigMac,42,1,2025-12-15T14:56:49.049219,COMPLETE,7.24
Chipotle,BOS401,Boston,Sandwich,ChipotleChicken,35,2,2025-12-15T14:56:49.173326,COMPLETE,13.92
KFC,NYC301,New York,Combo,FamilyBucket,42,1,2025-12-15T14:56:49.050469,COMPLETE,20.18
Chipotle,BOS401,Boston,Combo,DoubleChickenCombo,36,1,2025-12-15T14:56:49.226682,COMPLETE,12.49
McDonalds,NYC004,New York,Drinks,Latte,30,1,2025-12-15T14:56:49.002440,COMPLETE,4.19
Starbucks,SF102,San Francisco,Dessert,Cookie,37,1,2025-12-15T14:56:49.072706,COMPLETE,1.69
KFC,SF301,San Francisco,Drinks,Latte,32,1,2025-12-15T14:56:49.037973,COMPLETE,4.3
Chipotle,SEA401,Seattle,Drinks,OrangeJuice,30,1,2025-12-15T14:56:49.048929,COMPLETE,3.56
Burger King,MIA201,Miami,Combo,ValueMealB,30,3,2025-12-15T14:56:49.067289,COMPLETE,27.67
Chipotle,ATL401,Atlanta,Sandwich,ChipotleChicken,44,2,2025-12-15T14:56:49.123615,COMPLETE,13.49
Chipotle,ATL401,Atlanta,Sandwich,ChipotleChicken,45,2,2025-12-15T14:56:49.123686,COMPLETE,15.56
McDonalds,NYC004,New York,Sandwich,QuarterPounder,31,2,2025-12-15T14:56:49.091568,COMPLETE,15.6
Starbucks,BOS101,Boston,Drinks,MatchaLatte,24,4,2025-12-15T14:56:49.070556,COMPLETE,20.62
Starbucks,CHI101,Chicago,Drinks,IcedCoffee,28,1,2025-12-15T14:56:49.039405,COMPLETE,3.98
McDonalds,SF001,San Francisco,Combo,KidsMeal,44,1,2025-12-15T14:56:49.072938,COMPLETE,6.55
Starbucks,CHI101,Chicago,Drinks,Sprite,29,2,2025-12-15T14:56:49.081125,COMPLETE,5.13
Chipotle,DAL401,Dallas,Drinks,Coke,31,1,2025-12-15T14:56:49.098930,COMPLETE,2.47
KFC,MIA301,Miami,Sandwich,BBQBeef,20,1,2025-12-15T14:56:49.044778,COMPLETE,8.34
Starbucks,NYC101,New York,Dessert,Cookie,33,1,2025-12-15T14:56:49.163953,COMPLETE,1.67
McDonalds,LA001,Los Angeles,Dessert,ApplePie,40,1,2025-12-15T14:56:49.170780,FAILED,2.55
KFC,CHI301,Chicago,Drinks,Mocha,45,1,2025-12-15T14:56:49.064091,COMPLETE,5.22
KFC,DEN301,Denver,Sandwich,GrilledChicken,27,1,2025-12-15T14:56:49.085362,COMPLETE,7.3
McDonalds,NYC004,New York,Dessert,ChocolateChipCookie,32,1,2025-12-15T14:56:49.149918,COMPLETE,2.09
KFC,CHI301,Chicago,Drinks,IcedCoffee,46,1,2025-12-15T14:56:49.142906,COMPLETE,3.87
Starbucks,MIA101,Miami,Drinks,OrangeJuice,25,1,2025-12-15T14:56:49.015566,COMPLETE,3.48
McDonalds,LA001,Los Angeles,Drinks,ColdBrew,41,1,2025-12-15T14:56:49.199815,COMPLETE,4.83
KFC,PHO301,Phoenix,Sandwich,GrilledChicken,29,1,2025-12-15T14:56:49.046900,COMPLETE,7.35
McDonalds,MIA001,Miami,Dessert,Brownie,38,1,2025-12-15T14:56:49.094084,COMPLETE,2.94
Starbucks,NYC102,New York,Drinks,Sprite,36,1,2025-12-15T14:56:49.036799,COMPLETE,2.51
Burger King,SF201,San Francisco,Sandwich,BBQBeef,40,2,2025-12-15T14:56:49.045228,COMPLETE,14.92
Chipotle,SF401,San Francisco,Sandwich,GrilledChicken,30,1,2025-12-15T14:56:49.125571,COMPLETE,6.69
Burger King,SF201,San Francisco,Drinks,DietCoke,41,1,2025-12-15T14:56:49.133331,COMPLETE,2.65
KFC,CHI301,Chicago,Dessert,Donut,47,1,2025-12-15T14:56:49.240682,COMPLETE,2.02
McDonalds,NYC004,New York,Drinks,OrangeJuice,33,1,2025-12-15T14:56:49.218479,COMPLETE,3.5
KFC,HOU301,Houston,Drinks,Sprite,38,1,2025-12-15T14:56:49.090831,COMPLETE,2.63
KFC,CHI301,Chicago,Combo,HealthyCombo,48,1,2025-12-15T14:56:49.300179,COMPLETE,10.6
McDonalds,NYC001,New York,Sandwich,SpicyChicken,39,2,2025-12-15T14:56:49.006797,COMPLETE,15.17
Chipotle,SEA401,Seattle,Combo,HealthyCombo,31,2,2025-12-15T14:56:49.084847,COMPLETE,22.53
McDonalds,LA001,Los Angeles,Sandwich,BBQBeef,42,1,2025-12-15T14:56:49.299301,COMPLETE,7.63
McDonalds,NYC003,New York,Sandwich,BBQBeef,35,2,2025-12-15T14:56:49.055058,COMPLETE,15.07
Burger King,MIA201,Miami,Drinks,Coke,31,1,2025-12-15T14:56:49.078011,FAILED,2.45
Chipotle,DAL401,Dallas,Sandwich,BigMac,32,1,2025-12-15T14:56:49.189310,FAILED,7.69
Burger King,CHI201,Chicago,Combo,PremiumCombo,36,3,2025-12-15T14:56:49.043152,COMPLETE,33.79
Starbucks,SEA101,Seattle,Dessert,VanillaSundae,27,1,2025-12-15T14:56:49.081837,COMPLETE,3.58
Chipotle,LA401,Los Angeles,Drinks,Latte,30,1,2025-12-15T14:56:49.097239,COMPLETE,4.63
Starbucks,SF101,San Francisco,Combo,ValueMealB,41,1,2025-12-15T14:56:49.018228,COMPLETE,8.96
Chipotle,SF401,San Francisco,Sandwich,BigMac,31,1,2025-12-15T14:56:49.204209,COMPLETE,7.91
KFC,LA301,Los Angeles,Combo,HealthyCombo,34,1,2025-12-15T14:56:49.016361,COMPLETE,10.42
McDonalds,SF001,San Francisco,Drinks,ColdBrew,45,3,2025-12-15T14:56:49.163818,COMPLETE,14.34
McDonalds,NYC004,New York,Drinks,OrangeJuice,34,1,2025-12-15T14:56:49.225660,COMPLETE,3.48
Starbucks,SEA101,Seattle,Drinks,Mocha,28,1,2025-12-15T14:56:49.089149,COMPLETE,4.78
Burger King,PHI201,Philadelphia,Combo,ValueMealA,39,1,2025-12-15T14:56:49.080911,COMPLETE,8.59
KFC,PHO301,Phoenix,Combo,ChickenCombo,30,1,2025-12-15T14:56:49.128689,COMPLETE,10.67
McDonalds,NYC001,New York,Combo,BurgerFriesDrink,40,1,2025-12-15T14:56:49.088089,COMPLETE,10.65
KFC,LA301,Los Angeles,Combo,HealthyCombo,35,1,2025-12-15T14:56:49.019765,COMPLETE,10.78
Burger King,LA201,Los Angeles,Sandwich,BBQBeef,43,1,2025-12-15T14:56:49.001610,COMPLETE,7.34
KFC,NYC301,New York,Drinks,MatchaLatte,43,1,2025-12-15T14:56:49.125601,COMPLETE,5.65
McDonalds,LA001,Los Angeles,Drinks,MatchaLatte,43,1,2025-12-15T14:56:49.394278,COMPLETE,5.32
KFC,LA301,Los Angeles,Dessert,Cookie,36,1,2025-12-15T14:56:49.027693,COMPLETE,1.87
Starbucks,SEA101,Seattle,Dessert,ChocolateChipCookie,29,1,2025-12-15T14:56:50.046890,COMPLETE,2.04
Starbucks,SEA101,Seattle,Dessert,Donut,30,1,2025-12-15T14:56:50.108431,COMPLETE,1.9
Starbucks,SEA101,Seattle,Dessert,Brownie,31,1,2025-12-15T14:56:50.176284,COMPLETE,3.23
KFC,NYC301,New York,Sandwich,GrilledChicken,44,1,2025-12-15T14:56:50.073328,COMPLETE,6.65
Chipotle,SEA401,Seattle,Dessert,ChocolateChipCookie,32,1,2025-12-15T14:56:50.083958,COMPLETE,2.14
Chipotle,MIA401,Miami,Combo,ChickenCombo,34,1,2025-12-15T14:56:50.062354,COMPLETE,9.77
KFC,DAL301,Dallas,Combo,FamilyBucket,44,1,2025-12-15T14:56:50.075813,COMPLETE,20.01
Burger King,PHI201,Philadelphia,Dessert,BlueberryMuffin,40,3,2025-12-15T14:56:50.021270,COMPLETE,8.66
McDonalds,CHI001,Chicago,Drinks,Latte,43,1,2025-12-15T14:56:50.028757,COMPLETE,4.06
Chipotle,PHI401,Philadelphia,Sandwich,SpicyChicken,39,1,2025-12-15T14:56:50.081778,COMPLETE,6.84
Starbucks,NYC101,New York,Dessert,VanillaSundae,34,1,2025-12-15T14:56:50.043452,COMPLETE,4.1
Chipotle,LA401,Los Angeles,Drinks,OrangeJuice,31,1,2025-12-15T14:56:50.000881,COMPLETE,3.18
Starbucks,MIA101,Miami,Combo,KidsMeal,26,1,2025-12-15T14:56:50.018664,COMPLETE,6.97
Starbucks,CHI101,Chicago,Dessert,ChocolateSundae,30,1,2025-12-15T14:56:50.047174,COMPLETE,4.29
McDonalds,NYC003,New York,Sandwich,BBQBeef,36,3,2025-12-15T14:56:50.028697,COMPLETE,22.63
Chipotle,DAL401,Dallas,Drinks,OrangeJuice,33,1,2025-12-15T14:56:50.032239,COMPLETE,3.5
McDonalds,MIA001,Miami,Sandwich,VeggieDelight,39,1,2025-12-15T14:56:50.013263,COMPLETE,5.89
McDonalds,NYC002,New York,Sandwich,BigMac,39,2,2025-12-15T14:56:50.014544,COMPLETE,15.2
Starbucks,DAL101,Dallas,Drinks,OrangeJuice,40,2,2025-12-15T14:56:50.048804,COMPLETE,6.41
KFC,SF301,San Francisco,Dessert,ApplePie,33,1,2025-12-15T14:56:50.081684,COMPLETE,2.67
Chipotle,DAL401,Dallas,Sandwich,VeggieDelight,34,1,2025-12-15T14:56:50.049382,COMPLETE,5.76
Chipotle,NYC401,New York,Combo,PremiumCombo,26,1,2025-12-15T14:56:50.041674,COMPLETE,12.12
KFC,NYC301,New York,Combo,PremiumCombo,45,1,2025-12-15T14:56:50.154072,COMPLETE,12.51
KFC,NYC301,New York,Sandwich,BigMac,46,1,2025-12-15T14:56:50.197021,COMPLETE,7.75
Starbucks,SF101,San Francisco,Combo,ValueMealB,42,1,2025-12-15T14:56:50.066619,COMPLETE,9.67
Chipotle,ATL401,Atlanta,Combo,KidsMeal,46,1,2025-12-15T14:56:50.061691,COMPLETE,7.15
Chipotle,NYC401,New York,Drinks,Milkshake,27,1,2025-12-15T14:56:50.140149,COMPLETE,4.62
Chipotle,DAL401,Dallas,Sandwich,BLT,35,1,2025-12-15T14:56:50.110234,COMPLETE,6.61
McDonalds,MIA001,Miami,Sandwich,TurkeyClub,40,1,2025-12-15T14:56:50.107064,COMPLETE,7.22
Chipotle,BOS401,Boston,Dessert,Donut,37,1,2025-12-15T14:56:50.076543,COMPLETE,1.97
KFC,SF301,San Francisco,Drinks,Coke,34,1,2025-12-15T14:56:50.112405,COMPLETE,2.45
Burger King,NYC201,New York,Drinks,Coke,35,1,2025-12-15T14:56:50.020605,COMPLETE,2.52
Chipotle,PHI401,Philadelphia,Dessert,ChocolateSundae,40,2,2025-12-15T14:56:50.180294,COMPLETE,7.61
McDonalds,SF001,San Francisco,Drinks,Sprite,46,1,2025-12-15T14:56:50.005392,COMPLETE,2.46
Burger King,LA201,Los Angeles,Dessert,Brownie,44,1,2025-12-15T14:56:50.056689,COMPLETE,3.0
Burger King,NYC201,New York,Dessert,Donut,36,1,2025-12-15T14:56:50.023844,COMPLETE,1.93
McDonalds,MIA001,Miami,Sandwich,BLT,41,1,2025-12-15T14:56:50.117866,COMPLETE,6.2
Starbucks,SEA101,Seattle,Sandwich,QuarterPounder,32,2,2025-12-15T14:56:50.212515,COMPLETE,15.7
Chipotle,PHI401,Philadelphia,Drinks,Mocha,41,1,2025-12-15T14:56:50.251862,COMPLETE,4.97
Starbucks,NYC101,New York,Drinks,Coke,35,1,2025-12-15T14:56:50.141128,COMPLETE,2.47
Chipotle,LA401,Los Angeles,Dessert,IceCream,32,1,2025-12-15T14:56:50.080052,COMPLETE,3.18
McDonalds,SEA001,Seattle,Sandwich,BigMac,37,4,2025-12-15T14:56:50.034227,COMPLETE,30.77
McDonalds,NYC001,New York,Drinks,Mocha,41,1,2025-12-15T14:56:50.052928,COMPLETE,4.96
Chipotle,BOS401,Boston,Drinks,Mocha,38,1,2025-12-15T14:56:50.138409,COMPLETE,5.19
KFC,SF301,San Francisco,Drinks,Milkshake,35,1,2025-12-15T14:56:50.164506,COMPLETE,4.38
Starbucks,NYC102,New York,Combo,ValueMealB,37,1,2025-12-15T14:56:50.067610,COMPLETE,9.14
KFC,NYC301,New York,Sandwich,BigMac,47,1,2025-12-15T14:56:50.257497,COMPLETE,7.67
Starbucks,DAL101,Dallas,Drinks,Mocha,41,1,2025-12-15T14:56:50.140284,COMPLETE,4.84
Burger King,CHI201,Chicago,Drinks,ColdBrew,37,1,2025-12-15T14:56:50.049112,COMPLETE,4.91
McDonalds,SEA001,Seattle,Sandwich,SpicyChicken,38,1,2025-12-15T14:56:50.035495,COMPLETE,7.59
Burger King,SF201,San Francisco,Combo,KidsMeal,42,2,2025-12-15T14:56:50.054938,COMPLETE,13.51
Burger King,CHI201,Chicago,Dessert,Cookie,38,1,2025-12-15T14:56:50.119576,COMPLETE,1.87
Starbucks,SEA101,Seattle,Drinks,OrangeJuice,33,1,2025-12-15T14:56:50.230751,FAILED,3.47
McDonalds,SEA001,Seattle,Dessert,CheesecakeSlice,39,3,2025-12-15T14:56:50.114531,COMPLETE,13.98
Chipotle,MIA401,Miami,Dessert,Cookie,35,1,2025-12-15T14:56:50.089119,COMPLETE,1.92
Chipotle,BOS401,Boston,Combo,FamilyBucket,39,1,2025-12-15T14:56:50.152648,COMPLETE,18.58
Starbucks,LA101,Los Angeles,Dessert,ApplePie,35,1,2025-12-15T14:56:50.012221,COMPLETE,2.71
McDonalds,DAL001,Dallas,Dessert,Cookie,32,1,2025-12-15T14:56:50.090311,COMPLETE,1.67
KFC,NYC301,New York,Dessert,ChocolateSundae,48,1,2025-12-15T14:56:50.308076,COMPLETE,3.79
Starbucks,CHI101,Chicago,Combo,BurgerFriesDrink,31,1,2025-12-15T14:56:50.106767,COMPLETE,10.8
McDonalds,NYC003,New York,Dessert,Donut,37,1,2025-12-15T14:56:50.082549,FAILED,1.95
Burger King,NYC201,New York,Sandwich,CrispyChicken,37,1,2025-12-15T14:56:50.086529,COMPLETE,6.7
KFC,PHO301,Phoenix,Sandwich,GrilledChicken,31,1,2025-12-15T14:56:50.017030,COMPLETE,7.29
Chipotle,CHI401,Chicago,Combo,FamilyBucket,44,1,2025-12-15T14:56:50.062230,COMPLETE,20.06
McDonalds,DAL001,Dallas,Sandwich,VeggieDelight,33,1,2025-12-15T14:56:50.156171,COMPLETE,6.18
KFC,MIA301,Miami,Combo,PremiumCombo,21,1,2025-12-15T14:56:50.018702,COMPLETE,10.94
Burger King,CHI202,Chicago,Dessert,Brownie,36,1,2025-12-15T14:56:50.068925,COMPLETE,3.16
Starbucks,LA101,Los Angeles,Dessert,ApplePie,36,2,2025-12-15T14:56:50.087735,COMPLETE,5.1
KFC,HOU301,Houston,Combo,SnackCombo,39,1,2025-12-15T14:56:51.045453,COMPLETE,7.89
KFC,DAL301,Dallas,Dessert,CheesecakeSlice,45,2,2025-12-15T14:56:51.022954,COMPLETE,9.08
Burger King,CHI201,Chicago,Drinks,Coke,39,1,2025-12-15T14:56:51.060008,COMPLETE,2.65
Starbucks,BOS101,Boston,Combo,PremiumCombo,25,2,2025-12-15T14:56:51.051583,COMPLETE,23.81
KFC,DAL301,Dallas,Dessert,IceCream,46,2,2025-12-15T14:56:51.058838,COMPLETE,7.02
Chipotle,DAL401,Dallas,Sandwich,BLT,36,1,2025-12-15T14:56:51.091494,COMPLETE,7.01
KFC,HOU301,Houston,Sandwich,BLT,40,1,2025-12-15T14:56:51.145311,COMPLETE,6.6
Burger King,PHI201,Philadelphia,Drinks,Sprite,41,1,2025-12-15T14:56:51.066112,COMPLETE,2.66
KFC,DEN301,Denver,Sandwich,BBQBeef,28,1,2025-12-15T14:56:51.027180,COMPLETE,7.41
Burger King,SF201,San Francisco,Dessert,VanillaSundae,43,1,2025-12-15T14:56:51.088555,FAILED,3.92
KFC,PHO301,Phoenix,Drinks,ColdBrew,32,1,2025-12-15T14:56:51.025480,COMPLETE,4.8
Burger King,NYC201,New York,Drinks,Sprite,38,1,2025-12-15T14:56:51.017888,COMPLETE,2.64
Starbucks,LA101,Los Angeles,Combo,SnackCombo,37,1,2025-12-15T14:56:51.010819,COMPLETE,7.39
Burger King,PHI201,Philadelphia,Sandwich,QuarterPounder,42,1,2025-12-15T14:56:51.127819,COMPLETE,7.62
Chipotle,SF401,San Francisco,Sandwich,CrispyChicken,32,1,2025-12-15T14:56:51.079559,COMPLETE,6.99
McDonalds,CHI001,Chicago,Sandwich,VeggieDelight,44,1,2025-12-15T14:56:51.022079,COMPLETE,6.31
McDonalds,NYC004,New York,Dessert,ChocolateChipCookie,35,1,2025-12-15T14:56:51.057757,FAILED,1.93
Starbucks,MIA101,Miami,Drinks,OrangeJuice,27,1,2025-12-15T14:56:51.069769,COMPLETE,3.52
Starbucks,NYC102,New York,Sandwich,BigMac,38,1,2025-12-15T14:56:51.068534,COMPLETE,7.58
KFC,SEA301,Seattle,Dessert,Brownie,31,1,2025-12-15T14:56:51.090485,COMPLETE,2.85
Starbucks,SEA101,Seattle,Dessert,Cookie,34,1,2025-12-15T14:56:51.049465,COMPLETE,1.68
KFC,DEN301,Denver,Drinks,DietCoke,29,1,2025-12-15T14:56:51.053392,COMPLETE,2.72
McDonalds,SF001,San Francisco,Combo,PremiumCombo,47,1,2025-12-15T14:56:51.025185,FAILED,10.95
KFC,CHI301,Chicago,Dessert,Brownie,49,1,2025-12-15T14:56:51.087046,COMPLETE,3.19
McDonalds,DAL001,Dallas,Combo,KidsMeal,34,1,2025-12-15T14:56:51.042879,COMPLETE,6.93
Starbucks,LA101,Los Angeles,Combo,ChickenCombo,38,1,2025-12-15T14:56:51.081821,COMPLETE,9.8
Burger King,NYC201,New York,Sandwich,BBQBeef,39,2,2025-12-15T14:56:51.064625,COMPLETE,14.93
Starbucks,LA101,Los Angeles,Combo,FamilyBucket,39,1,2025-12-15T14:56:51.132832,COMPLETE,18.94
Starbucks,NYC101,New York,Dessert,ChocolateSundae,36,1,2025-12-15T14:56:51.085189,COMPLETE,4.24
KFC,LA301,Los Angeles,Dessert,Donut,37,1,2025-12-15T14:56:51.039522,COMPLETE,1.92
KFC,DEN301,Denver,Drinks,DietCoke,30,1,2025-12-15T14:56:51.123670,COMPLETE,2.41
Chipotle,NYC401,New York,Combo,ChickenCombo,28,4,2025-12-15T14:56:51.012418,COMPLETE,38.99
KFC,NYC301,New York,Combo,HealthyCombo,49,1,2025-12-15T14:56:51.090927,COMPLETE,10.33
McDonalds,LA001,Los Angeles,Dessert,Brownie,44,1,2025-12-15T14:56:51.041676,COMPLETE,3.19
Chipotle,SEA401,Seattle,Combo,KidsMeal,33,1,2025-12-15T14:56:51.076681,COMPLETE,6.43
Burger King,CHI202,Chicago,Dessert,BlueberryMuffin,37,1,2025-12-15T14:56:51.077000,COMPLETE,2.81
KFC,MIA301,Miami,Sandwich,QuarterPounder,22,3,2025-12-15T14:56:51.016260,COMPLETE,23.46
Starbucks,SEA101,Seattle,Dessert,Brownie,35,1,2025-12-15T14:56:51.059870,COMPLETE,2.91
McDonalds,NYC004,New York,Sandwich,BigMac,36,1,2025-12-15T14:56:51.107007,COMPLETE,7.11
Starbucks,NYC101,New York,Drinks,MatchaLatte,37,1,2025-12-15T14:56:51.143349,COMPLETE,5.56
KFC,HOU301,Houston,Dessert,ApplePie,41,2,2025-12-15T14:56:51.244990,COMPLETE,4.99
McDonalds,NYC003,New York,Sandwich,GrilledChicken,38,1,2025-12-15T14:56:51.037808,COMPLETE,7.07
KFC,PHO301,Phoenix,Drinks,Mocha,33,1,2025-12-15T14:56:51.057232,COMPLETE,4.95
Starbucks,NYC101,New York,Combo,BurgerFriesDrink,38,1,2025-12-15T14:56:51.175899,COMPLETE,11.02
Chipotle,LA401,Los Angeles,Sandwich,GrilledChicken,33,1,2025-12-15T14:56:51.050002,COMPLETE,7.03
Burger King,DAL201,Dallas,Combo,PremiumCombo,37,1,2025-12-15T14:56:51.064440,COMPLETE,10.94
McDonalds,NYC004,New York,Combo,KidsMeal,37,3,2025-12-15T14:56:51.133774,COMPLETE,22.25
